wave,variable_id,question_type,scale_type,scale_points,max_value,missing_codes,distinctive_keyword,question_text
W1,ir002,interviewer,binary,2,2,99,questionnaire,Is this the first questionnaire the interviewer have completed?
W1,ir003,interviewer,ordinal,3,9,98; 99,presence,Presence of others other than the respondent while interviewing
W1,ir004,interviewer,likert_4,4,4,99,refused,Has the respondent ever refused to be interviewed during the whole process?
W1,ir009,interviewer,binary,2,2,99,conducted,Was the interview conducted with the assisance of an interpreter
W1,ir010c,interviewer,binary,2,2,99,water,Tell us whetherthe interviewee's residence has public water supply
W1,ir010d,interviewer,binary,2,2,99,electricity,Tell us whetherthe interviewee's residence has electricity
W1,q104,core_questionnaire,likert_5,5,5,98; 99,satisfied,How satisfied or dissatisfied are you with the current government?
W1,q116,core_questionnaire,binary,2,2,97; 98; 99,anyone,anyone you know personally witnessed an act of corruption?
W1,q119,core_questionnaire,likert_5,5,5,98; 99,choose,choose between democracy and economic development?
W1,se004a,socioeconomic,binary,2,2,98; 99,marital,Marital Status(Y/N)
W2,ir13a,interviewer,likert_3,2,3,7; 9,office,How far is it between the nearest public transportation stop and the respondent's house? Post-office
W2,ir13b,interviewer,likert_3,2,3,7; 9,school,How far is it between the nearest public transportation stop and the respondent's house? School
W2,ir13d,interviewer,likert_3,2,3,7; 9,sewerage,How far is it between the nearest public transportation stop and the respondent's house? Sewerage sy...
W2,ir13e,interviewer,likert_3,2,3,7; 9,health,How far is it between the nearest public transportation stop and the respondent's house? Health clin...
W2,ir13f,interviewer,likert_3,2,3,7; 9,signal,How far is it between the nearest public transportation stop and the respondent's house? Signal for ...
W2,ir13g,interviewer,likert_3,2,3,7; 9,recreational,How far is it between the nearest public transportation stop and the respondent's house? Recreationa...
W2,ir13h,interviewer,likert_3,2,3,7; 9,churches,How far is it between the nearest public transportation stop and the respondent's house? Any churche...
W2,ir13i,interviewer,likert_3,2,3,7; 9,halls,How far is it between the nearest public transportation stop and the respondent's house? Any town ha...
