variable_id,domain,concepts,question_text,validation_phrase,validation_phrase_occurrences,validation_phrase_score
country,Geographic Location,"country, national identity, location",Country,country,14,10.0
fgnum,Social Participation,"group membership, formal organization, social engagement",number of formal group,number of formal,1,100.0
idnumber,Demographic Information,"identification, unique identifier, personal data","idnumber 

Variable: level3 
  Question: urban-rural",idnumber variable: level3,1,100.0
ir001,Interviewer Information,"interviewer identification, unique identifier, data collection",Interviewer_s number,interviewer_s number,1,80.0
ir002,Interviewer Experience,"interviewer experience, questionnaire completion, data collection",Is this the first questionnaire the interviewer have completed?,this the first,1,100.0
ir002a,Interviewer Demographics,"interviewer gender, demographic characteristics, data collection",Interviewer_s gender,interviewer_s gender,1,80.0
ir002b,Interviewer Demographics,"interviewer age, demographic characteristics, data collection",Interviewer_s age,interviewer_s age,1,80.0
ir003,Interview Environment,"interview setting, presence of others, data collection",Presence of others other than the respondent while interviewing,presence of others,1,100.0
ir004,Respondent Cooperation,"respondent refusal, interview experience, data collection",Has the respondent ever refused to be interviewed during the whole process?,respondent ever refused,1,100.0
ir005,Respondent Experience,"respondent impatience, interview experience, data collection",Has the respondent ever felt impatient during the interview?,respondent ever felt,1,100.0
ir006,Interview Quality,"cooperation, respondent behavior, interview process",How cooperative was the respondent during the interview?,how cooperative was,1,100.0
ir007_1,Interview Metadata,"interview date, month, temporal information",date of interview: month,of interview: month,1,100.0
ir007_2,Interview Metadata,"interview date, day, temporal information",date of interview: day,of interview: day,1,100.0
ir007_3,Interview Metadata,"interview date, year, temporal information",date of interview: year,of interview: year,1,100.0
ir009,Interview Process,"interpreter assistance, language support, interview facilitation",Was the interview conducted with the assisance of an interpreter,was the interview,1,100.0
ir010a,Infrastructure Quality,"road condition, transportation infrastructure, residence accessibility",What is the condition of the road leading to interview's residence,what is the,1,100.0
ir010b,Environmental Sanitation,"public sanitation, neighborhood cleanliness, health environment",How do rate the sanitary condition in the public area in the interviewee's nearby neighborhood,how do rate,1,100.0
ir010c,Basic Amenities,"public water supply, residence amenities, water accessibility",Tell us whetherthe interviewee's residence has public water supply,tell us whetherthe,2,35.35533905932737
ir010d,Basic Amenities,"public water supply, electricity availability, residence amenities",Tell us whetherthe interviewee's residence has public water supply Tell us whetherthe interviewee's residence has electricity,water supply tell,1,100.0
ir010e,Transportation Accessibility,"public transportation, walking distance, residence accessibility",Walking distance between the nearest public transportation stop and the respondent's house,walking distance between,1,100.0
pgnum,Unknown,,number of private group,number of private,1,100.0
q001,Economic Perception,"economic condition, national level, current evaluation",How would you rate the overall economic condition of our country today?,would you rate,1,100.0
q002,Economic Perception,"economic condition, national level, temporal comparison, change evaluation",How would you describe the change in the economic condition of our country over the past five years?,would you describe,2,35.35533905932737
q003,Economic Perception,"economic condition, national level, temporal comparison, change evaluation, future expectation",How would you describe the change in the economic condition of our country over the past five years? What do you think will be the state of our country's economic condition five years from now?,five years? what,1,100.0
q004,Economic Perception,"economic situation, personal level, current evaluation","As for your own family, how do you rate your economic situation today?",as for your,1,100.0
q005,Economic Perception,"economic situation, personal level, temporal comparison, change evaluation",How would you compare the current economic condition of your family with what it was five years ago?,would you compare,1,100.0
q006,Economic Perception,"economic situation, personal level, future expectation",What do you think the economic situation of your family will be five years from now?,you think the,1,100.0
q007,Trust in Government,"trust, courts, institutional evaluation",How much trust do you have in the courts?,much trust do,17,1.426680147272547
q008,Trust in Government,"trust, courts, national government, institutional comparison",How much trust do you have in the courts? How much trust do you have in the national government?,have in the national,1,100.0
q009,Trust in Government,"trust, courts, political parties, institutional comparison",How much trust do you have in the courts? How much trust do you have in political parties?,have in political,1,100.0
q010,Trust in Government,"trust, institutional evaluation, courts, parliament",How much trust do you have in the courts? How much trust do you have in Parliament?,have in parliament?,1,100.0
q011,Trust in Government,"trust, institutional evaluation, courts, civil service",How much trust do you have in the courts? How much trust do you have in civil service?,have in civil,1,100.0
q012,Trust in Government,"trust, institutional evaluation, courts, military",How much trust do you have in the courts? How much trust do you have in the military?,in the military?,1,100.0
q013,Trust in Government,"trust, institutional evaluation, courts, police",How much trust do you have in the courts? How much trust do you have in the police?,in the police?,1,100.0
q014,Trust in Government,"trust, institutional evaluation, courts, local government",How much trust do you have in the courts? How much trust do you have in local government?,have in local,1,100.0
q015,Trust in Media,"trust, institutional evaluation, courts, newspapers",How much trust do you have in the courts? How much trust do you have in newspapers?,have in newspapers?,1,100.0
q016,Trust in Media,"trust, institutional evaluation, courts, television",How much trust do you have in the courts? How much trust do you have in television?,have in television?,1,100.0
q017,Trust in Government,"trust, institutional evaluation, courts, election commission",How much trust do you have in the courts? How much trust do you have in the election commission?,the election commission?,1,100.0
q018,Trust in Non-Governmental Organizations,"trust, institutional evaluation, courts, non-governmental organizations",How much trust do you have in the courts? How much trust do you have in non-governmental organizations?,have in non-governmental,1,100.0
q018_1,Trust in Law Enforcement,"trust, institutional evaluation, courts, police station",How much trust do you have in the courts? TRUST POLICE STATION,courts? trust police,1,100.0
q018_2,Trust in Institutions,"trust, courts, state owned enterprises",How much trust do you have in the courts? TRUST STATE OWNED ENTERPRISES,courts? trust state,1,100.0
q018_3,Trust in Institutions,"trust, courts, private enterprises",How much trust do you have in the courts? TRUST PRIVATE ENTERPRISES,courts? trust private,1,100.0
q018_4,Trust in Institutions,"trust, courts, foreign enterprises",How much trust do you have in the courts? TRUST FOREIGN ENTERPRISES,courts? trust foreign,1,100.0
q018_5,Trust in Institutions,"trust, courts, national institutions",How much trust do you have in the courts? TRUST OUR COUNTRY,courts? trust our,1,100.0
q018_6,Trust in Media,"trust, radio",how much trust in radio?,much trust in,4,12.5
q018_7,Trust in Government,"trust, local government, representatives",how much trust in radio? Local MP(q18_1),in radio? local,1,100.0
q018_8,Trust in Judiciary,"trust, constitution court, judicial system",how much trust in radio? The Constitution Court(q18_2),radio? the constitution,1,100.0
q018_9,Trust in Anti-Corruption Agencies,"trust, corruption commission, accountability",how much trust in radio? The Corruption Commission(q18_3),radio? the corruption,1,100.0
q022,Civic Engagement,"participation, frequency, civic activities",How frequently do you participate?,how frequently do,2,35.35533905932737
q023,Political Engagement,"participation, frequency, political discussion",How frequently do you participate? How often do you discuss politics?,you participate? how,1,100.0
q024,Trust in Others,"trust, social relationships, generalized trust",most people can be trusted??,most people can,1,100.0
q025,Social Support,"social connections, friendship, perceived support",I have enough friends and connections so that I can get help if I need it,i have enough,2,35.35533905932737
q026,Social Capital,"social influence, social connections, perceived security","I have enough friends and connections so that I can get help if I need it I have some friends with influence, so I don't have to worry too much if I get into a tight spot",need it i,1,100.0
q027,Electoral Participation,"voting behavior, election participation, civic engagement",Have you participated in last election?,have you participated,1,100.0
q028,Electoral Participation,"party affiliation, voting choice, political preference",Which party did you vote for?,which party did,1,100.0
q029,Campaign Engagement,"campaign participation, political engagement, rally attendance",Did you attend a campaign meeting or rally?,did you attend,27,0.7127781101106491
q030,Campaign Engagement,"political persuasion, social influence, campaign support",Did you attend a campaign meeting or rally? Did you try to persuade others to vote for a certain candidate or party?,did you try,1,100.0
q031,Campaign Engagement,"campaign support, volunteering, political activism",Did you attend a campaign meeting or rally? Did you do anything else to help or show your support for a party or candidate running in the election?,you do anything,1,100.0
