variable_id,domain,concepts,question_text,value_labels,scale_type,scale_points,confidence,needs_reversal,first_na_value,max_substantive_value,validation_phrase,validation_phrase_occurrences,validation_phrase_score
country,Unknown,,Country,1=Japan; 2=Hong Kong; 3=Korea; 4=Mainland China; 5=Mongolia; 6=Philippines; 7=Taiwan; 8=Thailand,ordinal,8,0.8,False,,8,country,14,10.0
fgnum,Unknown,,number of formal group,0=None; 1=One; 2=Two; 3=Three; 99=No Answer,likert_3,4,0.8,False,99,3,number of formal group,1,132.0
idnumber,Unknown,,"idnumber 

Variable: level3 
  Question: urban-rural",1=urban; 2=rural; 3=no registration,likert_3,3,0.8,False,,3,idnumber variable: level3 question: urban-rural,1,132.0
ir001,Unknown,,Interviewer_s number,9999=No Answer,unknown,0,0.0,False,9999,0,interviewer_s number,1,92.4
ir002,Unknown,,Is this the first questionnaire the interviewer have completed?,1=yes; 2=no; 99=No Answer,binary,2,0.8,True,99,2,is this the first questionnaire,1,132.0
ir002a,Unknown,,Interviewer_s gender,1=male; 2=female; 97=Not Applicable; 99=No Answer,binary,2,0.8,False,97,2,interviewer_s gender,1,92.4
ir002b,Unknown,,Interviewer_s age,97=Not Applicable; 99=No Answer,unknown,0,0.0,False,97,0,interviewer_s age,1,92.4
ir003,Unknown,,Presence of others other than the respondent while interviewing,1=yes; 2=no; 9=No record; 98=don't know; 99=No Answer,ordinal,3,0.5,True,98,9,presence of others other than,1,132.0
ir004,Unknown,,Has the respondent ever refused to be interviewed during the whole process?,1=Yes_Right at the beginning of the interview; 2=Yes_In the middle of the interview; 3=Yes_Towards the end of the interview; 4=Never; 99=No Answer,likert_4,4,0.8,True,99,4,has the respondent ever refused,1,132.0
ir005,Unknown,,Has the respondent ever felt impatient during the interview?,1=Never; 2=Occasionally; 3=Sometimes; 4=Always; 99=No answer,likert_4,4,0.8,False,99,4,has the respondent ever felt,1,132.0
ir006,Unknown,,How cooperative was the respondent during the interview?,1=Highly cooperative; 2=Fairly cooperative; 3=Not very cooperative; 9=No record; 99=No answer,ordinal,4,0.5,False,99,9,how cooperative was the respondent,1,132.0
ir007_1,Unknown,,date of interview: month,1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10; 11=11; 12=12; 99=No Answer,categorical,12,0.8,False,99,12,date of interview: month,1,132.0
ir007_2,Unknown,,date of interview: day,1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10; 11=11; 12=12; 13=13; 14=14; 15=15; 16=16; 17=17; 18=18; 19=19; 20=20; 21=21; 22=22; 23=23; 24=24; 25=25; 26=26; 27=27; 28=28; 29=29; 30=30; 31=31; 99=No Answer,categorical,31,0.8,False,99,31,date of interview: day,1,132.0
ir007_3,Unknown,,date of interview: year,2001=2001; 2002=2002; 2003=2003; 9999=No Answer,unknown,0,0.0,False,2001,0,date of interview: year,1,132.0
ir009,Unknown,,Was the interview conducted with the assisance of an interpreter,1=Yes; 2=No; 99=No Answer,binary,2,0.8,True,99,2,interview conducted with the assisance,1,132.0
ir010a,Unknown,,What is the condition of the road leading to interview's residence,"1=WIDE ENOUGH FOR CAR AND PAVED WITH ASPHALT,CEMENT OR MAN-MA; 2=NOT WIDE ENOUGH FOR CAR BUT PAVED WITH ASPHALT,CEMENT OR MA; 3=Paved with stone; 4=WIDE ENOUGH FOR CAR AND PAVED WITH STONE; 5=NOT WIDE ENOUGH FOR CAR,BUT PAVED WITH STONE; 6=Unpaved/dirt road; 7=WIDE ENOUGH FOR CAR AND UNPAVED/DIRT ROAD; 8=NOT WIDE ENOUGHT FOR CAR BUT UNPAVED/DIRT ROAD; 9=.Muddy; 10=WIDE ENOUGH FOR CAR AND MUDDY; 11=NOT WIDE ENOUGH FOR CAR,BUT MUDDY; 99=No Answer",scale_10,11,0.8,False,99,11,condition of the road leading,1,132.0
