variable_id,domain,concepts,question_text
country,Unknown,,Country Code
fgnum,Unknown,,Number of formal group
idnumber,Unknown,,"Interview Numbers 

Variable: level3 
  Question: Urban-rural"
ir12a,Infrastructure Quality,"road condition, residence accessibility, infrastructure evaluation",What is the condition of the road leading to the interviewee's residence?
ir12b,Service Accessibility,"drinking water source, tap water availability, water accessibility",Is tap water the main source of drinking water?
ir12c,Service Accessibility,"drinking water source, tap water availability, electricity availability, lighting source",Is tap water the main source of drinking water? Is electricity the main source of lighting?
ir12d,Transportation Accessibility,"public transportation proximity, residence location, transportation accessibility",How far is it between the nearest public transportation stop and the respondent's house?
ir13a,Service Accessibility,"post-office availability, postal service accessibility, community service",A.  Post-office
ir13b,Education Accessibility,"school availability, education accessibility, community service",B.  School
ir13d,Service Accessibility,"sewerage system availability, waste management accessibility, community service",D.  Sewerage system that most houses could access
ir13e,Service Accessibility,"health service, availability, community resource",E.  Health clinic
ir13f,Infrastructure Quality,"telecommunication, signal strength, mobile phone",F.  Signal for cellular phone
ir13g,Community Facilities,"recreational activity, sports facility, community engagement","G.  Recreational facilities, e.g., a sports field"
ir13h,Community Facilities,"place of worship, religious facility, community gathering","H.  Any churches, mosques, temples or other public places of worship"
ir13i,Community Facilities,"community building, meeting space, public gathering",I.  Any town halls or community buildings that can be used for meetings
ir13k,Economic Accessibility,"market access, grocery shopping, clothing purchase",K.  Market stalls (selling groceries and/or clothing)
ir14,Geographic Location,"residential location, administrative level, geographic hierarchy",Which of the following levels within the country the respondent live?
ir2,Survey Administration,"interview process, questionnaire completion, survey experience",Is this the first questionnaire interviewers have completed?
ir2a,Interviewer Characteristics,"interviewer demographic, gender identity, survey personnel",Interviewer's gender
ir2b,Interviewer Characteristics,"interviewer demographic, age group, survey personnel",Interviewer's age
ir3,Interview Environment,"interview setting, presence of others, privacy","In the interview, other than the respondents, were others present?"
ir3a_1,Interview Environment,"family presence, spouse, interview setting",Spouse
ir3a_2,Interview Environment,"family presence, children, interview setting",Children
ir3a_3,Interview Environment,"family presence, parents, interview setting",Parents or parents in law
ir3a_4,Interview Environment,"external presence, neighbors, interview setting",Neighbors/Passers by
ir3a_5,Interview Environment,"external presence, government official, interview setting",Party/Government Official
ir3a_6,Interview Environment,"external presence, others, interview setting",Others
ir4,Respondent Behavior,"refusal to participate, interview process, respondent cooperation",Has the respondent ever refused to be interviewed during the whole process?
ir5,Respondent Behavior,"emotional state, impatience, interview experience",Has the respondent ever felt impatient during the interview?
ir6,Respondent Behavior,"cooperation level, respondent behavior, interview process",How cooperative was the respondent during the interview?
ir7,Response Validity,"sincerity, response quality, self-reporting",How sincere was the respondent when answering sensitive questions?
ir8,Response Difficulty,"question difficulty, response ease, proportion",What proportion of the questions do you feel the respondent had difficulty answering?
ir9_1,Interview Metadata,"interview date, month, temporal information",Date of interview: month
ir9_2,Interview Metadata,"interview date, day, temporal information","Date of interview: day 

Variable: ir9_3 
  Question: Date of interview: year 

Variable: ir10a 
  Question: Was the interview conducted with the assistance of an interpreter?"
irII13c,Service Accessibility,"police station, service location, access point",C.  Police station
q1,Economic Perception,"economic condition, national level, current evaluation",How would you rate the overall economic condition of our country today?
q10,Trust in Government,"trust, political parties, institutional confidence",Trust in Political parties
q100,National Priorities,"national issues, government priorities, public opinion","In your opinion, what are the most important questions facing the country that government should address?"
q101,National Priorities,"national issues, government priorities, public opinion, multiple responses","In your opinion, what are the most important questions facing the country that government should address? Second Response"
q102,National Priorities,"national issues, government priorities, public opinion, multiple responses","In your opinion, what are the most important questions facing the country that government should address? Third Response"
q102a,Trust in Government,"government effectiveness, problem solving, evaluation",How likely is it that the government will solve the most important problem you identified?
q103,Trust in Government,"government accountability, power to change, democratic process",People have the power to change a government they don't like
q104,Trust in Institutions,"judicial system, punishment, accountability, equality before law",People have the power to change a government they don't like Our current courts always punish the guilty even if they are high-ranking officials
q105,Election Integrity,"equal access, mass media, election period, fairness",People have the power to change a government they don't like Political parties or candidates in our country have equal access to the mass media during the election period
q106,Government Accountability,"government responsibility, inter-election period, accountability mechanisms","People have the power to change a government they don't like Between elections, the people have no way of holding the government responsible for its actions"
q107,Rule of Law,"government compliance, legal system, law enforcement, checks and balances","People have the power to change a government they don't like When the government breaks the laws, there is nothing the legal system can do"
q108,Social Justice,"equal treatment, government fairness, social equality",People have the power to change a government they don't like Everyone is treated equally by the government
q109,Basic Needs,"basic necessities, poverty, standard of living","People have the power to change a government they don't like People have basic necessities like food, clothes, and shelter"
q11,Trust in Institutions,"parliament, trust, institutional confidence",Trust in Parliament
q110,Freedom of Expression,"free speech, fear of retribution, censorship, human rights",People have the power to change a government they don't like People are free to speak what they think without fear
q111,Trust in Government,"government accountability, citizen empowerment, freedom of association",People have the power to change a government they don't like People can join any organization the like without fear
q112,Government Transparency,"information disclosure, government honesty, public trust",How often do government officials withhold important information from the public view?
q113,Rule of Law,"government accountability, lawfulness, official conduct",How often do national government officials abide by the law? (HK: Hong Kong government)
q114,Election Integrity,"electoral choice, government accountability, democratic process",How often do national government officials abide by the law? How often do your think our elections offer the voters a real choice between different parties/candidates?
q115,Government Oversight,"legislative power, government accountability, checks and balances",To what extent is the legislature capable of keeping the government in check?
q116,Government Responsiveness,"government responsiveness, public needs, citizen satisfaction",How well do you think the government responds to what people want?
q117,Corruption Perception,"corruption prevalence, local government, bribe-taking",How widespread do you think corruption and bribe-taking are in your local/municipal government?
q118,Corruption Perception,"corruption prevalence, local government, national government, bribe-taking",How widespread do you think corruption and bribe-taking are in your local/municipal government? How widespread do you think corruption and bribe-taking are in the national government?
q119,Corruption Experience,"personal experience, corruption witness, government official misconduct",Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?
q119_1,Corruption Experience,"personal experience, corruption witness, government official misconduct",119_1 Personally witnessed
q119_2,Information Source,"information source, family, social network",119_2 Told about it by family member
q119_3,Information Source,"information source, friend, social network",119_3 Told about it by friend
q12,Trust in Government,"trust, civil service, institutional confidence",Trust in Civil service
q120,Government Performance,"government performance, corruption, anticorruption efforts","In your opinion, is the government working to crackdown corruption and root out bribes?"
q121,Political Opinion,"political opinion, personal view, statement evaluation",Which of the following statements comes closest to your own opinion?
q122,Political Opinion,"political opinion, personal view, statement evaluation",Which of the following statements comes closer to your own view?
q123,Political Values,"democracy, economic development, value prioritization","If you had to choose between democracy and economic development, which would you say is more important?"
q124,Political System,"political system, authoritarianism, leadership preference",We should get rid of parliament and elections and have a strong leader decide things
q125,Political System,"political system, single-party system, authoritarianism",We should get rid of parliament and elections and have a strong leader decide things Only one political party is allowed to stand for election and hold office
q126,Political System,"political system, military rule, authoritarianism",We should get rid of parliament and elections and have a strong leader decide things The army should come in to govern the country
q127,Political Efficacy,"political participation, self-efficacy, ability",I think I have the ability to participate in politics
q128,Political Efficacy,"political complexity, understanding, powerlessness",I think I have the ability to participate in politics Sometimes politics and government seems so complicated that a person like me can't really understand what is going on
q129,System Support,"government evaluation, system legitimacy, national pride","I think I have the ability to participate in politics Whatever its faults may be, our form of government is still the best for us"
q13,Trust in Institutions,"trust, military, institutional confidence",Trust in the military(or armed forces)
q130,Trust in Government,"trust, government, leadership",I think I have the ability to participate in politics You can generally trust the people who run our government to do what is right (HK: Hong Kong government)
q131,Trust in Local Government,"trust, local government, officials","I think I have the ability to participate in politics Generally speaking, we can trust the local government officials to do the right things"
q132,Political Values,"political views, value orientation, ideology",Which of these two statements comes closer to your own view
q133,Political Equality,"education, political equality, participation",People with little or no education should have as much say in politics as highly-educated people
q134,Authoritarianism,"authoritarianism, leadership, obedience",People with little or no education should have as much say in politics as highly-educated people Government leaders are like the head of a family; we should all follow their decisions
q135,Censorship and Freedom,"censorship, freedom of speech, government control",People with little or no education should have as much say in politics as highly-educated people The government should decide whether certain ideas should be allowed to be discussed in society
q136,Social Equality,"social equality, education level, political participation, community harmony",People with little or no education should have as much say in politics as highly-educated people Harmony of the community will be disrupted if people organize lots of groups
q137,Separation of Powers,"judicial independence, executive influence, education level, political participation","People with little or no education should have as much say in politics as highly-educated people When judges decide important cases, they should accept the view of the executive branch"
q138,Government Effectiveness,"government effectiveness, legislative oversight, education level, political participation","People with little or no education should have as much say in politics as highly-educated people If the government is constantly checked by the legislature, it cannot possibly accomplish great things"
q139,Moral Leadership,"moral leadership, education level, political participation, decision-making authority","People with little or no education should have as much say in politics as highly-educated people If we have political leaders who are morally upright, we can let them decide everything"
q14,Trust in Institutions,"trust in police, institutional trust, public safety",Trust in the police
q140,Social Order,"social order, diversity of thought, education level, political participation","People with little or no education should have as much say in politics as highly-educated people If people have too many different ways of thinking, society will be chaotic"
q141,Rule of Law,"rule of law, government authority, education level, political participation, crisis management","People with little or no education should have as much say in politics as highly-educated people When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation"
q142,Economic Policy,"state-owned enterprises, government ownership, education level, political participation, economic management",People with little or no education should have as much say in politics as highly-educated people The government should maintain ownership of major state-owned enterprises
q143,Decentralization,"decentralization, local autonomy, education level, political participation, decision-making authority",People with little or no education should have as much say in politics as highly-educated people The local government should have more authority over local decisions than it does now
q144,National Identity,"national identity, cultural preservation, education level, political participation, globalization",People with little or no education should have as much say in politics as highly-educated people Our country should defend our way of life instead of becoming more and more like other countries
q145,Social Justice,"social equality, education level, political participation","People with little or no education should have as much say in politics as highly-educated people In order to preserve social justice, the government should prevent the gap between rich and poor from growing any larger"
q146,Economic Policy,"trade policy, self-sufficiency, education level, political participation",People with little or no education should have as much say in politics as highly-educated people Our country should become more self-sufficient and less reliant on trade with other countries
q147,National Identity,"national attachment, identity, affiliation",Let us suppose that you had to choose between being a..... which of these do you feel most strongly attached to
q148,Social Equality,"equal rights, citizenship, social inclusion",These people should have the equal right to do whatever they want to do as other citizens
q149,Political Participation,"voting rights, equal rights, citizenship",These people should have the equal right to do whatever they want to do as other citizens They should enjoy the same right as other citizens to vote in the election of the top leader
q15,Trust in Government,"trust, local government, institutional confidence",Trust in local government
q150,Social Welfare,"equal rights, basic well-being, government responsibility",These people should have the equal right to do whatever they want to do as other citizens Their basic well-being should be taken care of by the government to the same extent as other citizens
q151,Civic Duty,"equal rights, civic responsibility, community participation",These people should have the equal right to do whatever they want to do as other citizens A citizen who does not actively participate in the affairs of his local and national community is not performing his duties
q152,Law and Order,"equal rights, obedience to law, citizenship","These people should have the equal right to do whatever they want to do as other citizens Citizens should always obey laws and regulations, even if they disagree with them"
q153,National Loyalty,"equal rights, national loyalty, citizenship","These people should have the equal right to do whatever they want to do as other citizens Do you agree or disagree with the following statement: ""A citizen should always remain loyal only to his country, no matter how imperfect"
q154,National Pride,"national pride, citizenship, identity",How proud are you to be a citizen of [Country]
q155,Migration Intentions,"migration, willingness, international movement","Given the chance, how willing would you be to go and live in another country?"
q156,International Organizations,"European Community, European Union, international relations",Relation: The European Community or European Union
q157,International Organizations,"United Nations, UN, global governance",Relation: The United Nations or UN
q158,International Organizations,"International Monetary Fund, IMF, economic cooperation",Relation: International Monetary Fund or IMF
q159,International Organizations,"World Bank, international finance, development",Relation: World Bank
q16,Trust in Media,"trust, newspaper, media credibility",Trust in newspaper
q160,International Organizations,"European Community, European Union, public impression",Impression: The European Community or European Union
q161,International Organizations,"United Nations, UN, public perception",Impression: The United Nations or UN
q162,International Organizations,"International Monetary Fund, IMF, public opinion",Impression: International Monetary Fund or IMF
q163,Institutional Perception,"institutional impression, international organization, evaluation",Impression: World Bank
q164,Country Perception,"country impression, global power, evaluation",Impression: United States
q165,Country Perception,"country impression, global power, evaluation",Impression: China
q166,Country Perception,"country impression, global power, evaluation",Impression: Japan
q17,Trust in Media,"trust, media, television",Trust in television
q18,Trust in Government,"trust, election commission, institutional evaluation",Trust in the election commission(Singapore: International TV)
q19,Trust in NGOs,"trust, non-governmental organization, evaluation",Trust in NGOs
q2,Economic Perception,"economic condition, national level, temporal comparison, evaluation",How would you describe the change in the economic condition of our country over the last years?
q20,Social Participation,"membership, organization, social engagement",Are you a member of any organization or formal groups?
q20_1,Social Participation,"specific organization, membership, identification",First organization
q20_2,Organizational Affiliation,"organizational membership, sequence, identification",Second organization
q20_3,Organizational Affiliation,"organizational membership, sequence, identification",Third organization
q23,Trust in Society,"trust, generalization, social interaction","General speaking, would you say ""Most people can be trusted"" or ""that you must be very careful""?"
q24,Trust in Family,"trust, family ties, relative relationships",How much trust do you have in your relatives?
q25,Trust in Community,"trust, family ties, neighborly relationships, community bonds",How much trust do you have in your relatives? How much trust do you have in your neighbors?
q26,Trust in Social Network,"trust, family ties, social interaction, network relationships",How much trust do you have in your relatives? How much trust do you have in other people you interact with?
q27,Social Interaction,"social contact, frequency, daily life","On average, about how many people do you have contact with in a typical week day?"
q28,Social Influence,"influence, social capital, decision-making",How often are you asked to help influence important decisions in other people's favor?
q29,Social Support,"support, social capital, reciprocity",And are there people you could ask to help influence important decisions in your favor?
q3,Economic Perception,"economic condition, national level, temporal comparison, evaluation, future expectations",How would you describe the change in the economic condition of our country over the last years? What do you think will be the state of our country's economic condition a few years from now?
q30,Social Reciprocity,"reciprocal help, social support, future expectation","Do you agree or disagree with the following statement: By helping people in trouble today, someone else will help me when I am in trouble someday."
q31,Social Interaction,"political discussion, social discomfort, opinion difference",Would you have a hard time conversing with your friends or co-workers about politics if you had differing opinions?
q32,Perceived Safety,"urban safety, current evaluation, personal security","Generally speaking, how safe is living in this city/town/village?"
q33,Perceived Safety,"safety comparison, temporal change, urban security","Compared to the situation in this city/town/village a few years ago, do you feel more safe, less safe or the same as before?"
q34,Victimization Experience,"property crime, personal experience, vehicle theft","Have you been a victim of car, motorcycle or bicycle theft?"
q35,Victimization Experience,"property crime, personal experience, theft",Have you been a victim of pick-pocketing/robbery of personal property?
q36,Victimization Experience,"property crime, personal experience, burglary",Have you been a victim of pick-pocketing/robbery of personal property? Have you been a victim of break-in at your home?
q37,Victimization Experience,"violent crime, personal experience, physical harm",Have you been a victim of pick-pocketing/robbery of personal property? Have you been a victim of physical violence?
q38,Civic Engagement,"voting behavior, electoral participation, personal experience",Have you been a victim of pick-pocketing/robbery of personal property? Have you voted in the last election?
q39,Political Preference,"party affiliation, voting choice, political orientation",Which parties (or candidates for president if it was presidential race) did you vote for?
q39a,Voting Behavior,"voting decision, election outcome, candidate support",If the respondent voted for the winning camp or loosing camp?
q4,Economic Perception,"economic condition, personal evaluation, current situation","As for your own family, how do you rate your economic situation today?"
q40,Political Participation,"campaign engagement, political activity, public event",Attend a campaign meeting or rally
q41,Political Participation,"social influence, voting persuasion, candidate support",Try to persuade others to vote for a certain candidate or party
q42,Political Participation,"volunteer work, party support, election assistance",Did you do anything else to help out or work for a party or candidate running in the election
q43,Election Integrity,"election evaluation, freeness, fairness","On the whole, how would you rate the freeness and fairness of the last national election?"
q44,Service Accessibility,"identity document, obtainment ease, bureaucratic process",How easy is it to obtain: An identity document
q45,Service Accessibility,"public education, school enrollment, accessibility",How easy is it to obtain: An identity document How easy is it to obtain: A place in public primary school for a child
q46,Service Accessibility,"healthcare access, medical treatment, clinic proximity",How easy is it to obtain: An identity document How easy is it to obtain: Medical treatment at a nearby clinic
q47,Service Accessibility,"public safety, police assistance, help availability",How easy is it to obtain: An identity document How easy is it to obtain: Help from the police when you need it
q48,Political Perception,"political situation, evaluation, current state",How would you describe the present political situation in our country
q49,Political Engagement,"interest, politics, self-assessment",How interested would you say you are in politics
q5,Economic Perception,"economic condition, evaluation, temporal comparison, family level",How would you compare the current economic condition of your family with what it was a few years ago?
q50,Political Engagement,"news consumption, politics, government, frequency",How often do you follow news about politics and government
q51_1,Information Source,"information source, television, news consumption",Main source of information. Question 51.01 Television
q51_2,Information Source,"information source, newspaper, news consumption",Question 51.02 Newspaper
q51_3,Information Source,"information source, radio, news consumption",Question 51.03 Radio
q51_4,Information Source,"information source, internet, news consumption",Question 51.04 Internet
q51_5,Information Source,"information source, cell phone, short message, news consumption",Question 51.05 Cell phone short message (SMS)
q51_6,Information Source,"information source, personal contact, news consumption",Question 51.06 Personal contact
q51_7,Information Source,"information source, media, preference",Question 51.07 Other
q51_8,Information Source,"information source, media, preference",Magazine
q51a,Information Source,"information source, importance, evaluation",From Q51 Which is most important
q52,Political Discussion,"political discussion, social interaction, frequency","When you get together with your family members or friends, how often do you discuss political matters?"
q53,Government Impact,"government impact, daily life, perceived influence",How much impact do you feel government politics have on your daily life?
