variable_id,domain,concepts,question_text,value_labels,validation_phrase,validation_phrase_occurrences,validation_phrase_score
country,Unknown,,Country Code,1=Japan; 2=Hong Kong; 3=Korea; 4=Mainland China; 5=Mongolia; 6=Philippines; 7=Taiwan; 8=Thailand; 9=Indonesia; 10=Singapore; 11=Vietnam; 12=Cambodia; 13=Malaysia,country code,1,80.0
fgnum,Unknown,,Number of formal group,0=None; 1=One; 2=Two; 3=Three; 98=Not applicable,number of formal,1,100.0
idnumber,Unknown,,"Interview Numbers 

Variable: level3 
  Question: Urban-rural",1=Urban; 2=Rural; 3=No registration,interview numbers variable:,1,100.0
ir12a,Unknown,,What is the condition of the road leading to the interviewee's residence?,"1=Wide enough for car and paved with asphalt, cement or man-made materials; 2=Not wide enough for car, but paved with asphalt; 3=Paved with stone; 4=Unpaved/dirt road; 5=Muddy; 6=Others",what is the,1,100.0
ir12b,Unknown,,Is tap water the main source of drinking water?,0=Can't determine; 1=Yes; 2=No,is tap water,2,35.35533905932737
ir12c,Unknown,,Is tap water the main source of drinking water? Is electricity the main source of lighting?,0=Can't determine; 1=Yes; 2=No,drinking water? is,1,100.0
ir12d,Unknown,,How far is it between the nearest public transportation stop and the respondent's house?,0=Can't determine; 1=Less than 10 minutes by walking; 2=Less than 20 minutes; 3=Less than 40 minutes; 4=Less than an hour; 5=Less than two hours; 6=Less than three hours; 7=Less than four hours; 8=More than four hours; 9=No stop,how far is,1,100.0
ir13a,Unknown,,A.  Post-office,0=No; 1=Yes; 3=Not sure; 7=Not applicable; 9=Can't determine,a. post-office,1,80.0
ir13b,Unknown,,B.  School,0=No; 1=Yes; 3=Not sure; 7=Not applicable; 9=Can't determine,b. school,1,80.0
ir13d,Unknown,,D.  Sewerage system that most houses could access,0=No; 1=Yes; 3=Not sure; 7=Not applicable; 9=Can't determine,d. sewerage system,1,100.0
ir13e,Unknown,,E.  Health clinic,0=No; 1=Yes; 3=Not sure; 7=Not applicable; 9=Can't determine,e. health clinic,1,100.0
ir13f,Unknown,,F.  Signal for cellular phone,0=No; 1=Yes; 3=Not sure; 7=Not applicable; 9=Can't determine,f. signal for,1,100.0
ir13g,Unknown,,"G.  Recreational facilities, e.g., a sports field",0=No; 1=Yes; 3=Not sure; 7=Not applicable; 9=Can't determine,"g. recreational facilities,",1,100.0
ir13h,Unknown,,"H.  Any churches, mosques, temples or other public places of worship",0=No; 1=Yes; 3=Not sure; 7=Not applicable; 9=Can't determine,"h. any churches,",1,100.0
ir13i,Unknown,,I.  Any town halls or community buildings that can be used for meetings,0=No; 1=Yes; 3=Not sure; 7=Not applicable; 9=Can't determine,i. any town,1,100.0
ir13k,Unknown,,K.  Market stalls (selling groceries and/or clothing),0=No; 1=Yes; 3=Not sure; 7=Not applicable; 9=Can't determine,k. market stalls,1,100.0
ir14,Unknown,,Which of the following levels within the country the respondent live?,1=Capital or Megacity; 2=Regional center or Other major cities; 3=Small city or town; 4=Village or countryside; 5=Suburb; 6=Remote area; 7=Cannot choose,the following levels,1,100.0
