"variable_id","domain","concepts","question_text"
"allweight","Unknown","","individual country weight 

Variable: couweight 
  Question: cross-country weight 

Variable: q129a 
  Question: strong leader"
"country","Unknown","","Country Code"
"idnumber","Unknown","","case number"
"ir1","Unknown","","IR1. Interviewer's number"
"ir10a","Unknown","","IR10a. Was the interview conducted with the assistance of an interpreter?"
"ir11a","Household Characteristics","road condition","IR11a. What is the condition of the road leading to interviewee's residence?"
"ir11b","Household Characteristics","drinking water source","IR11b. Please identify the main source of drinking water in the household?"
"ir11c","Household Characteristics","electricity as lighting","IR11c. Is electricity the main source of lighting in the house?"
"ir11d","Household Characteristics","walking distance to public transportation","IR11d. In terms of walking distance, how far is it between the nearest public transportation stop (bus, train, ferry, tram, etc) and the respondent's house?"
"ir12","Unknown","","IR12. Were the following services present within the neighborhood (i.e., within walking or easy driving distance).Estimate the distance of these services by:"
"ir12a","Service Accessibility","post-office; accessibility; availability","IR12a. Post-office"
"ir12b","Service Accessibility","school; accessibility; availability","IR12b. School"
"ir12c","Service Accessibility","police station; accessibility; availability","IR12c. Police station"
"ir12d","Service Accessibility","sewerage system; accessibility; availability","IR12d. Sewerage system that most houses could access"
"ir12e","Service Accessibility","health clinic; accessibility; availability","IR12e. Health clinic"
"ir12f","Infrastructure","cellular phone signal; infrastructure; availability","IR12f. Signal for cellular phone"
"ir12g","Infrastructure","recreational facilities; infrastructure; availability","IR12g. Recreational facilities, e.g., a sports field"
"ir12h","Religious and Cultural Facilities","places of worship; religious facilities; cultural facilities","IR12h. Any churches, mosques, temples or other public places of worship"
"ir12i","Community Facilities","town halls; community buildings; meeting facilities","IR12i. Any town halls or community buildings that can be used for meetings"
"ir12k","Economic Activity","market stalls; grocery stores; clothing stores; economic activity","IR12k. Market stalls (selling groceries and/or clothing)"
"ir13","Location","country; location; residence","IR13. Which of the following levels within the country the respondent live?"
"ir2","Questionnaire Experience","first questionnaire; previous experience; participation","IR2. Is this the first questionnaire you have completed?"
"ir2a","Interviewer Characteristics","gender; sex; biological sex","IR2a. Interviewer's gender"
"ir2b","Interviewer Characteristics","age; years; age group","IR2b. Interviewer's Age"
"ir2c","Language","language; spoken language; home language","IR2c. What kind of language do you normally use at home?[Country-specific]"
"ir3","Interview Setting","interviewer presence; other participants; interview environment","IR3. In the interview, other than the respondent, were others present?"
"ir3a","Interview Setting","other participants; presence of others; interview participants","Who were they? (Multiple answers allowed)"
"ir3a_1HK","Interview Setting","spouse; partner; relationship status","Respondent’s spouse"
"ir3a_2HK","Interview Setting","children; family members; family structure","Children"
"ir3a_3HK","Interview Setting","parents; parents-in-law; family members","Parents or parents-in-law"
"ir3a_4HK","Social Interaction","Neighbors/Passers by","Neighbors/Passers by"
"ir3a_5HK","Political Trust","Party/Government Official","Party/Government Official"
"ir4","Interview Process","Refusal to be interviewed; Interview completion","IR4. Has the respondent ever refused to be interviewed during the whole process?"
"ir5","Interview Experience","Impatience during interview","IR5. Has the respondent ever felt impatient during the interview?"
"ir6","Interview Experience","Cooperation during interview","IR6. How cooperative was the respondent during the interview?"
"ir7","Interview Experience","Sincere answers to sensitive questions","IR7. How sincere was the respondent when answering sensitive questions?"
"ir8","Interview Experience","Difficulty answering questions","IR8. What proportion of the questions do you feel the respondent had difficulty answering?"
"ir9","Interview Date","Date of Interview","Date of Interview____(month)____(date)_2010_(year) 

Variable: ir10 
  Question: IR10. Language in which interview was conducted"
"level3","Unknown","","urban-rural"
"q1","Economic Perception","economic condition; national level; current evaluation","q1. How would you rate the overall economic condition of our country today?  Is it …"
"q10","Trust in Government","trust; political parties; national level","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? Political parties [not any specific party]"
"q100","Government Accountability","accountability; government responsibility; elections","q100. Between elections, the people have no way of holding the government responsible for its actions."
"q101","Government Accountability","law enforcement; judicial system; government actions","q101. When government leaders break the laws, there is nothing the court can do."
"q102","Citizen Participation","citizen engagement; government influence; political participation","q102. Most citizens in our country don't make much effort to influence government decisions."
"q103","Government Equality","ethnic equality; government policies; citizenship","q103. All citizens from different ethnic communities in Country X are treated equally by the government."
"q104","Government Equality","social equality; economic equality; government policies","q104. Rich and poor people are treated equally by the government."
