variable_id,domain,concepts,question_text,scale_type,scale_points,confidence,needs_reversal,validation_phrase,validation_phrase_occurrences,validation_phrase_score
ACTUAL_COUNT_EXCLUDE,Unknown,,"ACTUAL COUNT (EXCLUDE servants, transients/boarders)",unknown,0,0.0,False,"actual count (exclude servants, transients/boarders)",1,132.0
ACTUAL_COUNT_INCLUDE,Unknown,,"ACTUAL COUNT (INCLUDE servants, transients/boarders)",unknown,0,0.0,False,"actual count (include servants, transients/boarders)",1,132.0
COUNTRY,Unknown,,Country code,categorical,16,0.8,False,country code,1,92.4
IDNUMBER,Unknown,,"case number 

Variable: REGION 
  Question: Region",categorical,55,0.8,False,case number variable: region question:,1,132.0
IR1,Unknown,,IR1 Interviewer's number__________ (a three-digit code),unknown,0,0.0,False,ir1 interviewer's number__________ (a three-digit,1,132.0
IR10,Unknown,,IR10 Language in which interview was conducted,likert_4,4,0.8,False,ir10 language in which interview,1,132.0
IR10a,Unknown,,IR10a Was the interview conducted with the assistance of an interpreter?,binary,2,0.8,True,ir10a was the interview conducted,1,132.0
IR11a,Unknown,,"IR11a Based on your observation, what is the condition of the road leading to interviewee's residence?",likert_6,6,0.8,False,"ir11a based on your observation,",1,132.0
IR11b,Unknown,,IR11b Please identify the main source of drinking water in the household?,likert_5,5,0.8,False,ir11b please identify the main,1,132.0
IR11c,Unknown,,IR11c Is electricity the main source of lighting in the house?,binary,2,0.8,True,ir11c is electricity the main,1,132.0
IR11d,Unknown,,IR11d Is this neighborhood covered by mobile network?,likert_3,3,0.8,True,ir11d is this neighborhood covered,1,132.0
IR11e,Unknown,,"IR11e In terms of walking distance, how far is it between the nearest public transportation stop (bus, train, ferry, tram, etc.) and the respondent's house?",ordinal,8,0.8,False,ir11e in terms of walking,1,132.0
IR12,Unknown,,"IR12 Were the following services present within the neighborhood (i.e., within walking or easy driving distance)",binary,2,0.8,False,ir12 were the following services,1,132.0
IR12a,Unknown,,IR12a Post-office,binary,2,0.8,True,ir12a post-office,1,92.4
IR12b,Unknown,,IR12b School,binary,2,0.8,True,ir12b school,1,92.4
IR12c,Unknown,,IR12c Police station,binary,2,0.8,True,ir12c police station,1,132.0
IR12d,Unknown,,IR12d Sewerage system that most houses could access,binary,2,0.8,True,ir12d sewerage system that most,1,132.0
IR12e,Unknown,,IR12e Health clinic,binary,2,0.8,True,ir12e health clinic,1,132.0
IR12f,Unknown,,IR12f Signal for cellular phone,binary,2,0.8,True,ir12f signal for cellular phone,1,132.0
IR12g,Unknown,,"IR12g Recreational facilities, e.g., a sports field",binary,2,0.8,True,"recreational facilities, e.g., a sports",1,132.0
IR12h,Service Accessibility,"public places of worship, community infrastructure","IR12h Any churches, mosques, temples or other public places of worship",binary,2,0.8,True,"ir12h any churches, mosques, temples",1,132.0
