variable_id,domain,concepts,question_text,value_labels,validation_phrase,validation_phrase_occurrences,validation_phrase_score
ACTUAL_COUNT_EXCLUDE,Unknown,,"ACTUAL COUNT (EXCLUDE servants, transients/boarders)",-1=Missing; 0=Not applicable,"actual count (exclude servants, transients/boarders)",1,132.0
ACTUAL_COUNT_INCLUDE,Unknown,,"ACTUAL COUNT (INCLUDE servants, transients/boarders)",-1=Missing; 0=Not applicable,"actual count (include servants, transients/boarders)",1,132.0
COUNTRY,Unknown,,Country code,1=Japan; 2=HongKong; 3=Korea; 5=Mongolia; 6=Philippines; 7=Taiwan; 8=Thailand; 9=Indonesia; 10=Singapore; 11=Vietnam; 12=Cambodia; 13=Malaysia; 14=Myanmar; 15=Australia; 16=New Zealand; 17=East Timor,country code,1,92.4
IDNUMBER,Unknown,,"case number 

Variable: REGION 
  Question: Region","101=Hokkaido; 102=Tohoku; 103=Kanto; 104=Hokuriku; 105=Tosan; 106=Tokai; 107=Kinki; 108=Chugoku; 109=Shikoku; 110=North Kyushu; 111=South Kyushu; 301=Soeul; 302=Incheon/Gyeonggi; 303=Gangwon; 304=Daejeon/Sejong/Chungcheong; 305=Gwangju/Jeolla; 306=Daegu/Gyeongbuk; 307=Busan/Ulsan/Gyeongnam; 501=UB City; 502=Western; 503=Northern; 504=Central I; 505=Central II; 506=Central III; 507=Eastern; 508=Southern; 601=NCR; 602=Balance Luzon; 603=Visayas; 604=Mindanao; 701=Taipei, New Taipei, Keelung; 702=Taoyuang, Hsinchu, Miaoli; 703=Taichung, Changhua, Nantou; 704=Yunlin, Chiayi, Tainan; 705=Kaohsiung, Pingtung; 706=Yilan, Hualien, Taitung, outlying islands; 801=Bangkok; 802=North; 803=Northeast; 804=Central; 805=South; 901=Sumatera; 902=Java; 903=Bali Nusa; 904=Lesser Sunda Islands; 905=Kalimantan; 906=Sulawesi; 907=Maluk Islands; 908=New Guinea Island; 804=Central; 1002=East; 802=North; 1004=North-East; 1005=West; 1101=Red River Delta; 1102=Northern Midlands and Mountain Area; 1103=Central coast; 1104=Central highlands; 1105=Southeast; 1106=Mekong river Delta; 1201=Tonle Sap; 1202=Phnom Penh; 1203=Central Plain; 1204=Plateau and Mountains; 1205=Coastal and Sea; 503=Northern; 804=Central; 508=Southern; 507=Eastern; 1305=Borneo Malaysia; 1501=Eastern regions; 1502=Southern regions; 1503=Western regions; 1504=Northern regions",case number variable: region question:,1,132.0
IR1,Unknown,,IR1 Interviewer's number__________ (a three-digit code),0=Not applicable; -1=Missing,ir1 interviewer's number__________ (a three-digit,1,132.0
IR10,Unknown,,IR10 Language in which interview was conducted,-1=Missing; 0=Not applicable; 1=Native language or dialect (mother tongue) of the respondent; 2=The main language of the country but not the native language; 3=The main language of the region/localities but not the nativ; 4=The main language of the region/localities but not the native language or dialect (mother tongue) of the respondent,ir10 language in which interview,1,132.0
IR10a,Unknown,,IR10a Was the interview conducted with the assistance of an interpreter?,-1=Missing; 0=Not applicable; 1=Yes; 2=No,ir10a was the interview conducted,1,132.0
IR11a,Unknown,,"IR11a Based on your observation, what is the condition of the road leading to interviewee's residence?","-1=Missing; 0=Not applicable; 1=W ide enough for car and paved with asphalt, cement or man made materials; 2=N ot wide enough for car, but paved with asphalt, cement or man made materials; 3=Paved with stone; 4=Unpaved/dirt road; 5=Muddy; 6=others","ir11a based on your observation,",1,132.0
IR11b,Unknown,,IR11b Please identify the main source of drinking water in the household?,"-1=Missing; 0=Not applicable; 1=Tap water inside the house; 2=Shared tap water in the public place; 3=Handbump for groundwater; 4=Shared handbump for groundwater; 5=From river, pound or lake",ir11b please identify the main,1,132.0
IR11c,Unknown,,IR11c Is electricity the main source of lighting in the house?,-1=Missing; 0=Not applicable; 1=Yes; 2=No,ir11c is electricity the main,1,132.0
