wave,variable_id,question_type,scale_type,scale_points,max_value,missing_codes,distinctive_keyword,question_text
W6_Cambodia,IR10a,interviewer,binary,2,2,-1,ir10a,IR10a Was the interview conducted with the assistance of an interpreter?
W6_Cambodia,IR11c,interviewer,binary,2,2,-1,ir11c,IR11c Is electricity the main source of lighting in the house?
W6_Cambodia,IR11d,interviewer,likert_3,3,3,-1,ir11d,IR11d Is this neighborhood covered by mobile network?
W6_Cambodia,IR12a,interviewer,ordinal,3,9,-1,ir12a,IR12a Post-office
W6_Cambodia,IR12b,interviewer,ordinal,3,9,-1,ir12b,IR12b School
W6_Cambodia,IR12c,interviewer,ordinal,3,9,-1,ir12c,IR12c Police station
W6_Cambodia,IR12d,interviewer,ordinal,3,9,-1,ir12d,IR12d Sewerage system that most houses could access
W6_Cambodia,IR12e,interviewer,ordinal,3,9,-1,ir12e,IR12e Health clinic
W6_Cambodia,IR12f,interviewer,ordinal,3,9,-1,ir12f,IR12f Signal for cellular phone
W6_Cambodia,IR12g,interviewer,ordinal,3,9,-1,ir12g,"IR12g Recreational facilities, e.g., a sports field"
W6_Cambodia,IR12h,interviewer,ordinal,3,9,-1,ir12h,"IR12h Any churches, mosques, temples or other public places of worship"
W6_Cambodia,IR12i,interviewer,ordinal,3,9,-1,ir12i,IR12i Any town halls or community buildings that can be used for meetings
W6_Cambodia,IR12k,interviewer,ordinal,3,9,-1,ir12k,IR12k Market stalls (selling groceries and/or clothing)
W6_Cambodia,IR2,interviewer,binary,2,2,-1,questionnaire,IR2 Is this the first questionnaire you have completed?
W6_Cambodia,IR2c_other,interviewer,binary,2,2,-1,ir2c_other,"IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others..."
W6_Cambodia,IR3a_1,interviewer,binary,2,2,-1,ir3a_1,"IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others..."
W6_Cambodia,IR3a_2,interviewer,binary,2,2,-1,ir3a_2,"IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others..."
W6_Cambodia,IR3a_3,interviewer,binary,2,2,-1,ir3a_3,"IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others..."
W6_Cambodia,IR3a_4,interviewer,binary,2,2,-1,ir3a_4,"IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others..."
W6_Cambodia,IR3a_5,interviewer,binary,2,2,-1,ir3a_5,"IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others..."
W6_Cambodia,IR3a_6_other,interviewer,binary,2,2,-1,ir3a_6_other,"IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others..."
W6_Cambodia,IR3a_6_other_clarify,interviewer,likert_4,4,4,-1,ir3a_other_clarify,"IR3a_other_clarify 

Variable: IR4 
  Question: IR4 Has the respondent ever refused to be interviewe..."
W6_Cambodia,SE10d,socioeconomic,likert_3,3,3,-1; 98; 99,se10d,SE10d Is he or she currently seeking employment?
W6_Cambodia,SE15a,socioeconomic,binary,2,2,-1,se15a,SE15a Do you or your family own the following: Car/Jeep/Van?<optional>
W6_Cambodia,SE15b,socioeconomic,binary,2,2,-1,se15b,SE15b Tractor<optional>
W6_Cambodia,SE15c,socioeconomic,binary,2,2,-1,se15c,SE15c Color or B/W Television (Non-Cable)<optional>
W6_Cambodia,SE15d,socioeconomic,binary,2,2,-1,se15d,SE15d Cable Television<optional>
W6_Cambodia,SE15e,socioeconomic,binary,2,2,-1,se15e,SE15e Scooter/Motorcycle/Moped<optional>
W6_Cambodia,SE15f,socioeconomic,binary,2,2,-1,se15f,SE15f Telephone (Landline)<optional>
W6_Cambodia,SE15g,socioeconomic,binary,2,2,-1,se15g,SE15g Mobile Telephone<optional>
W6_Cambodia,SE15h,socioeconomic,binary,2,2,-1,se15h,SE15h Electric Fan/Cooler<optional>
W6_Cambodia,SE15i,socioeconomic,binary,2,2,-1,se15i,SE15i Bicycle<optional>
