Cluster_ID,Wave_Count,Avg_Confidence,Min_Confidence,W1_Vars,W2_Vars,W3_Vars,W4_Vars,W5_Vars,W6_Vars,Question_Text,Concepts,Domains
63,2,1.0000,1.0000,se005,se5,,,,,education,academic achievement; education; education level; knowledge acquisition; personal development,Demographic Characteristics; Education
113,4,1.0000,1.0000,,,q127,q128,q135,q127,"If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",economic inequality; political freedom; priority; priority evaluation,Governance Preference; Political Priority; Political Values
145,3,1.0000,1.0000,,,q62,,q69,q67,"If one could have only one child, it is more preferable to have a boy than a girl.",child preference; childbearing; family planning; gender preference,Social Attitudes; Social Preference
214,2,1.0000,1.0000,,,,,q123,q114,How capable is the government of enforcing laws and implementing policies?,government capability; government effectiveness; law enforcement; policy implementation,Government Capability; Trust in Government
222,2,1.0000,1.0000,,,,,q29,q29,Which of the following best describes your relations with most of your social contacts?,personal connections; quality of interaction; quality of interactions; social connections; social relationship,Social Connections; Social Interaction
58,2,1.0000,1.0000,se002,se2,,,,,gender,biological attribute; biological sex; gender; identity; individual characteristic,Demographic Characteristics; Demographics
62,2,1.0000,1.0000,q140,q142,,,,,The government should maintain ownership of major state-owned enterprises,economic control; economic policy; enterprise management; government control; state ownership,Economic Policy; Government Ownership and Control
71,5,1.0000,1.0000,,q116,q113,q115,q121,q112,How well do you think the government responds to what people want?,effectiveness; government response; government responsiveness; policy implementation; public needs,Government Responsiveness; Trust in Government
91,2,1.0000,1.0000,q101,q97,,,,,To what extent would you want our country to be democratic now?,country-level aspiration; current evaluation; current state; democracy; democratic desire,Desire for Democracy; Trust in Government
94,5,1.0000,1.0000,,country,country,country,COUNTRY,COUNTRY,Country Code,,Unknown
101,3,1.0000,1.0000,,,q159,q167,q180,,Which country should be a model for our own country's future development?,country aspiration; country model; development aspiration; development goal; future development,Development Model
144,2,1.0000,1.0000,,ir3a_4,ir3a_4HK,,,,Neighbors/Passers by,external presence; interview setting; neighbors; passers by; social encounter,Interview Environment; Social Interaction
149,3,1.0000,1.0000,,,q83,,q89,q83,I would rather live under our system of government than any other that I can think of.,alternative comparison; comparative evaluation; government comparison; government system; national loyalty,System Preference; System of Government Preference; Trust in Government
152,2,1.0000,1.0000,,ir3a_5,ir3a_5HK,,,,Party/Government Official,external presence; government official; institutional trust; interview setting; party,Interview Environment; Trust in Government
197,3,1.0000,1.0000,,,,idnumber,IDnumber,IDNUMBER,"case number 

Variable: region 
  Question: Region",,Unknown
208,2,1.0000,1.0000,,,,se7,SE7,,se7 Religiosity,faith commitment; religiosity; self-description; spiritual belief; spiritual practice,Religion and Spirituality; Religiosity
212,2,1.0000,1.0000,,,,ir1,Ir1,,ir1 Interviewer's number,,Unknown
215,2,1.0000,1.0000,,,,,q52,q53,Which one is the most important channel for you to find information about politics and government?,government; information channel; politics,Information Channel; Information Source
218,2,1.0000,1.0000,,,,,q40,q40,How easy or difficult to obtain running water,access to resources; accessibility; basic needs; ease of obtaining; running water,Service Accessibility
223,2,1.0000,1.0000,,,,,q30,q30,"Among these people you have frequent contacts, which of the following best describes the political views of these people?",political views; social contact; social contacts; social environment,Social Connections; Social Interaction
68,3,1.0000,1.0000,,q67,q149,q150,,,How closely do you follow major events in foreign countries/ the world?,global events; global interest; information seeking; international events; international knowledge,Global Awareness; International Awareness
82,2,1.0000,1.0000,"se006, relig1",se6,,,,,religion,affiliation; faith; personal belief; religion; spiritual affiliation,Demographic Characteristics; Religious Affiliation
95,2,1.0000,1.0000,fgnum,fgnum,,,,,Number of formal group,,Unknown
100,2,1.0000,1.0000,se003,,se3a_1a,,,,age group,age; age group; categorization; demographic classification; group categorization,Demographic Characteristics; Demographic Information
118,2,1.0000,1.0000,,ir3a_2,ir3a_2HK,,,,Children,children; children presence; family presence; family relationship; interview setting,Interview Environment
121,3,1.0000,1.0000,,,q52,,q60,q58,"For the sake of national interest, individual interest could be sacrificed.",individual interest; national interest; patriotism; personal sacrifice; sacrifice,National Interest; Social Norms and Collective Interest; Social Values
153,4,1.0000,1.0000,,,q110,q112,q118,q109,How often do you think government leaders break the law or abuse their power?,abuse of power; frequency evaluation; frequency of misconduct; government accountability; government integrity,Trust in Government
159,2,1.0000,1.0000,,,,,q27,q27,How much trust do you have in each of the following types of people? Trust in people you meet for the first time,first impression; initial interactions; strangers; trust,Trust in People
167,2,1.0000,1.0000,,,q152,q152,,,"Do you agree or disagree with the following statement: ""We should protect our farmers and workers by limiting the import of foreign goods.""",domestic industry; economic nationalism; protectionism; trade policy,Economic Policy; Economic Protectionism
195,2,1.0000,1.0000,,,q108,q110,,,Do officials who commit crimes go unpunished?,crime; government accountability; official accountability; punishment,Government Accountability; Trust in Government
203,2,1.0000,1.0000,,,,q139,q146,,Women should not be involved in politics as much as men,gender; gender roles; inequality; political participation; politics,Gender Equality
207,2,1.0000,1.0000,,,,q36,q36,,36. Try to persudae others to vote for a certain candidate or party?,candidate advocacy; candidate support; political influence; political persuasion; social influence,Political Influence; Political Participation
219,2,1.0000,1.0000,,,,,q41,q41,How easy or difficult to obtain public transportation,access to transportation; accessibility; ease of obtaining; mobility; public transportation,Service Accessibility
220,2,1.0000,1.0000,,,,,q42,q42,How easy or difficult to obtain healthcare,access to healthcare; accessibility; ease of obtaining; health services; healthcare,Service Accessibility
221,2,1.0000,1.0000,,,,,q44,q44,How easy or difficult to obtain access to the Internet,access to technology; accessibility; ease of obtaining; information; internet access,Service Accessibility
